Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file
ALIVE,1966-48949,K:LCD-1966-48949*1,Rhipsalis floccosa,Rhipsalis floccosa,Rhipsalis,Cactaceae,,N - Natural Source and Progeny,Brazil,29-05-2024,TropicalNursery_Simplified.xlsx
ALIVE,2002-2706,K:LCD-2002-2706*1,Cattleya trianae,Cattleya trianae,Cattleya,Orchidaceae,,,,22-08-2024,TropicalNursery_Simplified.xlsx
ALIVE,2005-1802,K:LCD-2005-1802*1,Dioscorea soso,Dioscorea soso,Dioscorea,Dioscoreaceae,,N - Natural Source and Progeny,Madagascar,20-12-2023,TropicalNursery_Simplified.xlsx
ALIVE,2007-481,K:LCD-2007-481*2,Stanhopea jenischiana,Stanhopea jenischiana,Stanhopea,Orchidaceae,,,,17-12-2021,TropicalNursery_Simplified.xlsx
ALIVE,1970-3885,K:LCD-1970-3885*1,Nicoteba betonica,Justicia betonica,Justicia,Acanthaceae,,N - Natural Source and Progeny,Malawi,29-06-2022,TropicalNursery_Simplified.xlsx
ALIVE,2016-237,K:LCD-2016-237*1,Aylostera pulvinosa,Rebutia pulvinosa,Rebutia,Cactaceae,,,,17-10-2023,TropicalNursery_Simplified.xlsx
ALIVE,2021-190,K:LCD-2021-190*1,Leptocereus undulosus,Dendrocereus undulosus,Dendrocereus,Cactaceae,,N - Natural Source and Progeny,Dominican Republic,05-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2022-1024,K:LCD-2022-1024*2,Aloe pearsonii,Aloe pearsonii,Aloe,Asphodelaceae,,N - Natural Source and Progeny,,18-06-2023,TropicalNursery_Simplified.xlsx
ALIVE,1981-4658,K:LCD-1981-4658*1,Tillandsia schiedeana,Tillandsia schiedeana,Tillandsia,Bromeliaceae,,N - Natural Source and Progeny,Guatemala,16-07-2024,TropicalNursery_Simplified.xlsx
ALIVE,1928-64201,K:LCD-1928-64201*1,Dendrobium speciosum,Dendrobium speciosum,Dendrobium,Orchidaceae,,N - Natural Source and Progeny,Australia,19-10-2021,TropicalNursery_Simplified.xlsx
ALIVE,2002-2116,K:LCD-2002-2116*6,Dendrobium crumenatum,Dendrobium crumenatum,Dendrobium,Orchidaceae,,,,09-04-2024,TropicalNursery_Simplified.xlsx
ALIVE,1984-2381,K:LCD-1984-2381*1,Impatiens niamniamensis,Impatiens niamniamensis,Impatiens,Balsaminaceae,,N - Natural Source and Progeny,India,20-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1991-1049,K:LCD-1991-1049*9,Aeranthes virginalis,Aeranthes virginalis,Aeranthes,Orchidaceae,,N - Natural Source and Progeny,Comoros,19-10-2021,TropicalNursery_Simplified.xlsx
ALIVE,2017-50,K:LCD-2017-50*3,Ania penangiana,Ania penangiana,Ania,Orchidaceae,,N - Natural Source and Progeny,,04-08-2023,TropicalNursery_Simplified.xlsx
ALIVE,2003-556,K:LCD-2003-556*1,Disa tripetaloides,Disa tripetaloides,Disa,Orchidaceae,,,,18-07-2024,TropicalNursery_Simplified.xlsx
ALIVE,1981-4288,K:LCD-1981-4288*4,Laelia anceps,Laelia anceps,Laelia,Orchidaceae,,,,24-04-2023,TropicalNursery_Simplified.xlsx
ALIVE,2024-0962,K:LCD-2024-0962*1,Dialium pobeguinii,Dialium pobeguinii,Dialium,Fabaceae,,N - Natural Source and Progeny,Sierra Leone,14-05-2024,TropicalNursery_Simplified.xlsx
ALIVE,2004-486,K:LCD-2004-486*1,Faucaria tigrina,Faucaria tigrina,Faucaria,Aizoaceae,,,,19-12-2023,TropicalNursery_Simplified.xlsx
ALIVE,2017-616,K:LCD-2017-616*1,Maxillaria cucullata,Maxillaria cucullata,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2004-2553,K:LCD-2004-2553*1,Aloe divaricata,Aloe divaricata,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Madagascar,01-02-2022,TropicalNursery_Simplified.xlsx
ALIVE,1981-1968,K:LCD-1981-1968*1,Ludisia discolor,Ludisia discolor,Ludisia,Orchidaceae,,,,28-10-2024,TropicalNursery_Simplified.xlsx
ALIVE,2009-142,K:LCD-2009-142*1,Salvadoropsis arenicola,Salvadoropsis arenicola,Salvadoropsis,Celastraceae,,N - Natural Source and Progeny,Madagascar,12-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2020-1248,K:LCD-2020-1248*3,Aloe peglerae,Aloe peglerae,Aloe,Asphodelaceae,,N - Natural Source and Progeny,South Africa,24-08-2022,TropicalNursery_Simplified.xlsx
ALIVE,1986-5817,K:LCD-1986-5817*1,Paphiopedilum rothschildianum,Paphiopedilum rothschildianum,Paphiopedilum,Orchidaceae,,,,19-03-2025,TropicalNursery_Simplified.xlsx
ALIVE,2007-1610,K:LCD-2007-1610*2,Chadsia flammea subsp. flammea,Chadsia flammea subsp. flammea,Chadsia,Fabaceae,,N - Natural Source and Progeny,,20-09-2023,TropicalNursery_Simplified.xlsx
ALIVE,2021-162,K:LCD-2021-162*1,Lobelia excelsa,Lobelia excelsa,Lobelia,Campanulaceae,,N - Natural Source and Progeny,Chile,22-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1982-233,K:LCD-1982-233*1,Asystasia intrusa,Asystasia gangetica subsp. micrantha,Asystasia,Acanthaceae,,N - Natural Source and Progeny,Christmas Island,27-11-2024,TropicalNursery_Simplified.xlsx
ALIVE,1999-2932,K:LCD-1999-2932*1,Cattleya maxima,Cattleya maxima,Cattleya,Orchidaceae,,,Ecuador,15-07-2024,TropicalNursery_Simplified.xlsx
ALIVE,1976-3655,K:LCD-1976-3655*1,Ruellia elegans,Ruellia rosea,Ruellia,Acanthaceae,,N - Natural Source and Progeny,Venezuela,29-06-2022,TropicalNursery_Simplified.xlsx
ALIVE,2021-780,K:LCD-2021-780*1,Vellozia dasypus,Vellozia dasypus,Vellozia,Velloziaceae,,N - Natural Source and Progeny,Brazil,14-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2011-449,K:LCD-2011-449*5,Aeonium aureum,Greenovia diplocycla,Greenovia,Crassulaceae,,,,22-11-2024,TropicalNursery_Simplified.xlsx
