Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date
ALIVE,1973-3648,K:LCD-1973-3648*1,Haworthia cymbiformis,Haworthia cymbiformis,Haworthia,Asphodelaceae,,N - Natural Source and Progeny,South Africa,24-11-2021,TropicalNursery_Simplified.xlsx,1973
ALIVE,2001-4030,K:LCD-2001-4030*1,Stanhopea tigrina,Stanhopea tigrina,Stanhopea,Orchidaceae,,,,23-12-2024,TropicalNursery_Simplified.xlsx,2001
ALIVE,1977-753,K:LCD-1977-753*1,Anthurium pentaphyllum,Anthurium pentaphyllum,Anthurium,Araceae,,N - Natural Source and Progeny,Brazil,07-02-2024,TropicalNursery_Simplified.xlsx,1977
ALIVE,2004-812,K:LCD-2004-812*1,Medinilla multiflora,Medinilla myriantha,Medinilla,Melastomataceae,,,,22-12-2023,TropicalNursery_Simplified.xlsx,2004
ALIVE,1984-1606,K:LCD-1984-1606*1,Bulbophyllum baileyi,Bulbophyllum baileyi,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,Australia,08-08-2024,TropicalNursery_Simplified.xlsx,1984
ALIVE,1969-51815,K:LCD-1969-51815*1,Haworthiopsis attenuata var. glabrata,Haworthia glabrata,Haworthia,Asphodelaceae,,,,24-11-2021,TropicalNursery_Simplified.xlsx,1969
ALIVE,2002-1835,K:LCD-2002-1835*1,Encyclia alata,Encyclia alata,Encyclia,Orchidaceae,,,,02-12-2024,TropicalNursery_Simplified.xlsx,2002
ALIVE,1977-400,K:LCD-1977-400*1,Aloe rivierei,Aloe rivierei,Aloe,Asphodelaceae,W - Wild,N - Natural Source and Progeny,Yemen,05-01-2022,TropicalNursery_Simplified.xlsx,1977
ALIVE,1963-66303,K:LCD-1963-66303*1,Haworthia decipiens,Haworthia decipiens,Haworthia,Asphodelaceae,,N - Natural Source and Progeny,South Africa,24-11-2021,TropicalNursery_Simplified.xlsx,1963
ALIVE,1992-1732,K:LCD-1992-1732*1,Lycaste angelae,Lycaste angelae,Lycaste,Orchidaceae,,N - Natural Source and Progeny,Costa Rica,18-11-2024,TropicalNursery_Simplified.xlsx,1992
ALIVE,1984-4580,K:LCD-1984-4580*1,Kalanchoe fedtschenkoi,Bryophyllum fedtschenkoi,Bryophyllum,Crassulaceae,,,,10-12-2024,TropicalNursery_Simplified.xlsx,1984
ALIVE,2008-500,K:LCD-2008-500*1,Melocactus harlowii,Melocactus harlowii,Melocactus,Cactaceae,,,,22-02-2024,TropicalNursery_Simplified.xlsx,2008
ALIVE,2000-485,K:LCD-2000-485*1,Drosera capensis,Drosera capensis,Drosera,Droseraceae,,,,05-07-2022,TropicalNursery_Simplified.xlsx,2000
ALIVE,1981-835,K:LCD-1981-835*1,Euphorbia schimperi,Euphorbia schimperi,Euphorbia,Euphorbiaceae,,N - Natural Source and Progeny,Somalia,06-12-2023,TropicalNursery_Simplified.xlsx,1981
ALIVE,1978-4487,K:LCD-1978-4487*1,Pelargonium zonale,Pelargonium zonale,Pelargonium,Geraniaceae,,N - Natural Source and Progeny,South Africa,06-01-2025,TropicalNursery_Simplified.xlsx,1978
ALIVE,1985-404,K:LCD-1985-404*1,Eulychnia,Eulychnia,Eulychnia,Cactaceae,,,,14-01-2025,TropicalNursery_Simplified.xlsx,1985
ALIVE,2004-2021,K:LCD-2004-2021*1,Mammillaria spinosissima,Mammillaria spinosissima subsp. pilcayensis,Mammillaria,Cactaceae,,,,14-01-2025,TropicalNursery_Simplified.xlsx,2004
ALIVE,1977-1757,K:LCD-1977-1757*1,Euphorbia ritchiei,Euphorbia ritchiei,Euphorbia,Euphorbiaceae,,N - Natural Source and Progeny,Kenya,09-01-2024,TropicalNursery_Simplified.xlsx,1977
ALIVE,1978-3300,K:LCD-1978-3300*1,Echinocereus brandegeei,Echinocereus brandegeei,Echinocereus,Cactaceae,,N - Natural Source and Progeny,Mexico,24-05-2023,TropicalNursery_Simplified.xlsx,1978
ALIVE,1989-283,K:LCD-1989-283*2,Passiflora quadrifaria,Passiflora quadrifaria,Passiflora,Passifloraceae,,N - Natural Source and Progeny,Brazil,20-01-2022,TropicalNursery_Simplified.xlsx,1989
ALIVE,1975-903,K:LCD-1975-903*1,Aloe ngongensis,Aloe ngongensis,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Kenya,05-01-2022,TropicalNursery_Simplified.xlsx,1975
ALIVE,1988-3814,K:LCD-1988-3814*1,Tillandsia propagulifera,Tillandsia propagulifera,Tillandsia,Bromeliaceae,,,,16-07-2024,TropicalNursery_Simplified.xlsx,1988
ALIVE,2005-2798,K:LCD-2005-2798*1,Restrepia brachypus,Restrepia brachypus,Restrepia,Orchidaceae,,,,28-03-2023,TropicalNursery_Simplified.xlsx,2005
ALIVE,2009-1042,K:LCD-2009-1042*1,Conophytum subfenestratum,Conophytum subfenestratum,Conophytum,Aizoaceae,,,,19-12-2023,TropicalNursery_Simplified.xlsx,2009
ALIVE,1947-29904,K:LCD-1947-29904*1,Aloe,Aloe,Aloe,Asphodelaceae,,N - Natural Source and Progeny,,01-12-2021,TropicalNursery_Simplified.xlsx,1947
ALIVE,1943-12227,K:LCD-1943-12227*1,Haworthiopsis attenuata var. glabrata,Haworthia glabrata var. concolor,Haworthia,Asphodelaceae,,,,24-11-2021,TropicalNursery_Simplified.xlsx,1943
ALIVE,1975-16,K:LCD-1975-16*1,Bulbophyllum crassipes,Bulbophyllum crassipes,Bulbophyllum,Orchidaceae,,,,12-03-2024,TropicalNursery_Simplified.xlsx,1975
ALIVE,1991-1447,K:LCD-1991-1447*1,Rhipsalis floccosa,Rhipsalis floccosa,Rhipsalis,Cactaceae,,N - Natural Source and Progeny,Brazil,29-05-2024,TropicalNursery_Simplified.xlsx,1991
ALIVE,2014-222,K:LCD-2014-222*1,Angraecum magdalenae,Angraecum magdalenae,Angraecum,Orchidaceae,,,,19-10-2021,TropicalNursery_Simplified.xlsx,2014
ALIVE,1985-3533,K:LCD-1985-3533*1,Crassula radicans,Crassula pubescens subsp. radicans,Crassula,Crassulaceae,,,,21-03-2025,TropicalNursery_Simplified.xlsx,1985
ALIVE,2013-1669,K:LCD-2013-1669*1,Bulbophyllum lepidum,Bulbophyllum lepidum,Bulbophyllum,Orchidaceae,,N - Natural Source and Progeny,,16-01-2025,TropicalNursery_Simplified.xlsx,2013
ALIVE,1959-72402,K:LCD-1959-72402*1,Aeonium,Aeonium,Aeonium,Crassulaceae,,,,06-12-2024,TropicalNursery_Simplified.xlsx,1959
ALIVE,1983-3261,K:LCD-1983-3261*1,Paphiopedilum philippinense var. roebbelenii,Paphiopedilum philippinense var. roebbelenii,Paphiopedilum,Orchidaceae,,,,15-01-2025,TropicalNursery_Simplified.xlsx,1983
ALIVE,1962-44032,K:LCD-1962-44032*1,Opuntia aurantiaca,Opuntia aurantiaca,Opuntia,Cactaceae,,,,28-12-2023,TropicalNursery_Simplified.xlsx,1962
ALIVE,1970-2721,K:LCD-1970-2721*2,Aloe mawii,Aloe mawii,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Malawi,05-01-2022,TropicalNursery_Simplified.xlsx,1970
ALIVE,2014-641,K:LCD-2014-641*1,Dioscorea antaly,Dioscorea antaly,Dioscorea,Dioscoreaceae,,N - Natural Source and Progeny,Madagascar,12-05-2023,TropicalNursery_Simplified.xlsx,2014
ALIVE,2004-1632,K:LCD-2004-1632*1,Pelargonium aridum,Pelargonium aridum,Pelargonium,Geraniaceae,,,,18-08-2022,TropicalNursery_Simplified.xlsx,2004
ALIVE,1960-21421,K:LCD-1960-21421*1,Conophytum bilobum subsp. bilobum,Conophytum tumidum,Conophytum,Aizoaceae,,,,19-12-2023,TropicalNursery_Simplified.xlsx,1960
ALIVE,1998-1487,K:LCD-1998-1487*1,Nepenthes rafflesiana,Nepenthes rafflesiana,Nepenthes,Nepenthaceae,,N - Natural Source and Progeny,Malaysia,26-07-2023,TropicalNursery_Simplified.xlsx,1998
